N,Transfer,Processing,Serial
10,0.199967,0.038912,0.002901
20,0.201332,0.038057,0.037215
30,0.182861,0.038256,0.089221
40,0.174618,0.036950,0.190026
50,0.174332,0.041213,0.343719
60,0.188271,0.044380,0.572083
70,0.213672,0.055120,0.919049
80,0.332366,0.049760,1.493089
90,0.218243,0.057495,1.990469
100,0.178658,0.059339,2.591660
110,0.224356,0.070875,3.409121
120,0.265148,0.101480,4.334665
130,0.246489,0.161625,5.587149
140,0.237047,0.174151,7.112469
150,0.273440,0.177476,8.408825
160,0.270492,0.183149,10.138117
170,0.293821,0.272268,12.303171
180,0.298128,0.307543,14.656920
190,0.335664,0.306356,17.227598
200,0.377993,0.340152,20.295574
210,0.402996,0.431285,23.669266
220,0.428763,0.431932,26.699314
230,0.430398,0.517141,30.704308
240,0.451570,0.493991,34.642258
250,0.479147,0.755914,39.387108
260,0.525564,0.759483,45.139206
270,0.525156,0.702889,50.850285
280,0.536635,0.787889,56.949287
290,0.560643,0.921199,63.516338
300,0.591653,1.070629,70.458130
310,0.608502,1.209237,77.659515
320,0.670015,1.191118,96.197754
330,0.666798,1.285893,94.550575
340,0.687707,1.468214,105.929886
350,0.763681,1.746749,113.050995
360,0.770544,1.712542,123.796021
370,0.881217,1.871317,133.783386
380,0.899883,2.013180,145.766388
390,0.950376,2.139902,164.848892
400,0.964694,2.169009,172.336990
410,1.033702,2.262682,195.082336
420,1.050550,2.545500,203.390732
430,1.126433,2.730167,218.232941
440,1.099242,2.942964,235.026474
450,1.149391,3.299503,250.552383
460,1.253596,3.576773,268.552856
470,1.218188,3.286472,289.438080
480,1.309645,3.553604,324.616791
490,1.299384,4.207460,330.942108
500,1.351464,3.735174,354.832336
510,1.384436,4.058150,375.711700
520,1.404550,6.323459,401.940582
530,1.409416,7.848219,427.905914
540,1.458482,5.233285,454.629974
550,1.467162,6.057300,483.235535
560,1.499057,5.754288,512.205139
570,1.525330,6.329499,537.998474
580,1.558198,7.443217,569.248901
590,1.641313,11.420800,603.056396
600,1.634847,6.706058,634.603577
610,1.711555,13.038947,664.706970
620,1.713047,8.568817,701.677063
630,1.708601,8.182423,725.464539
640,1.773513,8.183296,990.606140
650,1.848509,9.738201,810.491577
660,1.949774,8.916930,847.750793
670,1.999512,17.394344,887.343994
680,2.035681,10.133219,927.572815
690,2.176451,12.034986,969.520386
700,2.142775,10.988951,1013.094910
710,2.152671,12.643245,1067.541260
720,3.147806,10.772040,1118.940308
730,2.227274,13.415678,1167.485840
740,2.277770,12.430136,1201.164917
750,2.561778,13.555953,1269.446655
760,2.327612,14.370590,1303.447998
770,2.353973,14.888953,1352.100098
780,2.440090,15.481638,1407.992676
790,2.951233,17.269054,1476.800049
800,2.784972,15.978019,1579.351440
810,2.649555,16.968426,1605.962158
820,2.798634,18.829462,1642.995239
830,2.605953,19.499775,1724.622192
840,2.942479,17.876717,1775.155640
850,2.695862,22.493631,1831.634766
860,2.767027,22.363640,1895.208862
870,2.839007,23.719603,1970.217041
880,2.964958,21.314472,2029.157959
890,2.992642,24.590044,2103.541748
900,3.175360,23.035576,2174.476807
910,3.079097,24.342865,2251.107422
920,3.628769,29.205578,2327.515869
930,3.766391,28.000708,2402.722412
940,3.915238,33.788200,2482.789551
950,3.820278,35.242462,2563.110596
960,3.899789,27.155666,3300.811035
970,3.986574,40.749218,2739.905518
980,3.973739,40.970966,2830.392578
990,4.060978,44.366699,2939.568359
1000,4.189736,43.012398,3017.978760

