N,Transfer,Processing,Serial
1,0.196919,0.037707,0.000181
2,0.169786,0.036136,0.000325
3,0.177223,0.037913,0.000394
4,0.172818,0.036904,0.000423
5,0.195235,0.037414,0.000757
6,0.174265,0.038407,0.000800
7,0.180897,0.037716,0.001160
8,0.173409,0.036886,0.001613
9,0.153399,0.035113,0.002103
10,0.167927,0.031468,0.002793
11,0.159979,0.034047,0.003783
12,0.138707,0.055677,0.005124
13,0.131019,0.027414,0.006094
14,0.252143,0.036101,0.007863
15,0.173521,0.038495,0.008893
16,0.157990,0.050927,0.020608
17,0.170337,0.037528,0.012949
18,0.200229,0.048869,0.029428
19,0.137782,0.031204,0.019780
20,0.194935,0.049513,0.043792
21,0.154823,0.038831,0.044305
22,0.159049,0.033092,0.053805
23,0.188341,0.038543,0.057617
24,0.140652,0.033049,0.039094
25,0.157631,0.035033,0.064175
26,0.176629,0.050800,0.065744
27,0.136684,0.035850,0.053031
28,0.141477,0.036256,0.084560
29,0.171918,0.036907,0.083130
30,0.158865,0.054365,0.089801

